書名,特集タイトル,URL
ユリイカ2009年9月号,特集＝アルフォンス・ミュシャ,https://www.seidosha.co.jp/book/index.php?id=2500&status=published
ユリイカ2009年8月号,特集＝菅野よう子,https://www.seidosha.co.jp/book/index.php?id=2499&status=published
ユリイカ2009年7月号,特集＝メビウスと日本マンガ,https://www.seidosha.co.jp/book/index.php?id=2498&status=published
ユリイカ2009年6月号,特集＝レム・コールハース,https://www.seidosha.co.jp/book/index.php?id=2497&status=published
ユリイカ2009年5月号,特集＝クリント・イーストウッド,https://www.seidosha.co.jp/book/index.php?id=2496&status=published
ユリイカ2009年4月臨時増刊号,総特集＝坂本龍一,https://www.seidosha.co.jp/book/index.php?id=2495&status=published
ユリイカ2009年4月号,特集＝RPGの冒険,https://www.seidosha.co.jp/book/index.php?id=2494&status=published
ユリイカ2009年3月号,特集＝諸星大二郎,https://www.seidosha.co.jp/book/index.php?id=2493&status=published
ユリイカ2009年2月号,特集＝日本語は亡びるのか？,https://www.seidosha.co.jp/book/index.php?id=2492&status=published
ユリイカ2009年1月号,特集＝米原万里,https://www.seidosha.co.jp/book/index.php?id=2491&status=published
ユリイカ2010年12月号,特集＝荒川弘,https://www.seidosha.co.jp/book/index.php?id=2288&status=published
ユリイカ2010年11月号,特集＝猫,https://www.seidosha.co.jp/book/index.php?id=2287&status=published
ユリイカ2010年10月号,特集＝安倍吉俊,https://www.seidosha.co.jp/book/index.php?id=2286&status=published
ユリイカ2010年10月臨時増刊号,総特集＝冲方丁,https://www.seidosha.co.jp/book/index.php?id=2285&status=published
ユリイカ2010年9月号,特集＝10年代の日本文化のゆくえ,https://www.seidosha.co.jp/book/index.php?id=2284&status=published
ユリイカ2010年8月号,特集＝電子書籍を読む！,https://www.seidosha.co.jp/book/index.php?id=2283&status=published
ユリイカ2010年7月号,特集＝田辺聖子,https://www.seidosha.co.jp/book/index.php?id=2282&status=published
ユリイカ2010年6月号,特集＝橋本治,https://www.seidosha.co.jp/book/index.php?id=2281&status=published
ユリイカ2010年5月号,特集＝ポン・ジュノ,https://www.seidosha.co.jp/book/index.php?id=2280&status=published
ユリイカ2010年4月号,特集＝現代ピアニスト列伝,https://www.seidosha.co.jp/book/index.php?id=2279&status=published
ユリイカ2010年3月号,特集＝森村泰昌,https://www.seidosha.co.jp/book/index.php?id=2278&status=published
ユリイカ2010年2月臨時増刊号,総特集＝中村佑介,https://www.seidosha.co.jp/book/index.php?id=2277&status=published
ユリイカ2010年2月号,特集＝藤田和日郎,https://www.seidosha.co.jp/book/index.php?id=2276&status=published
ユリイカ2010年1月号,特集＝白川静,https://www.seidosha.co.jp/book/index.php?id=2275&status=published
ユリイカ2011年12月号,特集＝タンタンの冒険,https://www.seidosha.co.jp/book/index.php?id=2274&status=published
ユリイカ2011年11月号,特集＝やくしまるえつこ,https://www.seidosha.co.jp/book/index.php?id=2273&status=published
ユリイカ2011年11月臨時増刊号,総特集＝魔法少女まどか☆マギカ,https://www.seidosha.co.jp/book/index.php?id=2272&status=published
ユリイカ2011年10月号,特集＝現代俳句の新しい波,https://www.seidosha.co.jp/book/index.php?id=2271&status=published
ユリイカ2011年9月号,特集＝Ｂ級グルメ,https://www.seidosha.co.jp/book/index.php?id=2269&status=published
ユリイカ2011年8月号,特集＝バンクシーとは誰か？,https://www.seidosha.co.jp/book/index.php?id=2270&status=published
ユリイカ2011年7月号,特集＝宮沢賢治,https://www.seidosha.co.jp/book/index.php?id=2268&status=published
ユリイカ2011年7月臨時増刊号,総特集＝涼宮ハルヒのユリイカ！,https://www.seidosha.co.jp/book/index.php?id=2267&status=published
ユリイカ2011年6月号,特集＝山下敦弘,https://www.seidosha.co.jp/book/index.php?id=2266&status=published
ユリイカ2011年5月号,特集＝角田光代,https://www.seidosha.co.jp/book/index.php?id=2265&status=published
ユリイカ2011年4月号,特集＝パウル・クレー,https://www.seidosha.co.jp/book/index.php?id=2264&status=published
ユリイカ2011年3月号,特集＝貴志祐介,https://www.seidosha.co.jp/book/index.php?id=2263&status=published
ユリイカ2011年2月号,特集＝ソーシャルネットワークの現在,https://www.seidosha.co.jp/book/index.php?id=2262&status=published
ユリイカ2011年1月号,特集＝ジャン・ジュネ,https://www.seidosha.co.jp/book/index.php?id=2261&status=published
ユリイカ2011年1月臨時増刊号,総特集＝村上春樹,https://www.seidosha.co.jp/book/index.php?id=2260&status=published
ユリイカ2012年12月号,特集＝ＢＬオン・ザ・ラン！,https://www.seidosha.co.jp/book/index.php?id=2259&status=published
ユリイカ2012年12月臨時増刊号,総特集＝永野護,https://www.seidosha.co.jp/book/index.php?id=2258&status=published
ユリイカ2012年11月号,特集＝横尾忠則,https://www.seidosha.co.jp/book/index.php?id=2257&status=published
ユリイカ2012年10月号,特集＝ジョン・ケージ,https://www.seidosha.co.jp/book/index.php?id=2256&status=published
ユリイカ2012年9月号,特集＝岩井俊二,https://www.seidosha.co.jp/book/index.php?id=2255&status=published
ユリイカ2012年9月臨時増刊号,総特集＝平成仮面ライダー,https://www.seidosha.co.jp/book/index.php?id=2254&status=published
ユリイカ2012年8月号,特集＝クリストファー・ノーラン,https://www.seidosha.co.jp/book/index.php?id=2253&status=published
ユリイカ2012年8月臨時増刊号,総特集＝野見山暁治 絵とことば,https://www.seidosha.co.jp/book/index.php?id=2252&status=published
ユリイカ2012年7月号,特集＝蜷川実花,https://www.seidosha.co.jp/book/index.php?id=2251&status=published
ユリイカ2012年6月号,特集＝アントニオ・タブッキ,https://www.seidosha.co.jp/book/index.php?id=2250&status=published
ユリイカ2012年5月号,特集＝テレビドラマの脚本家たち,https://www.seidosha.co.jp/book/index.php?id=2249&status=published
ユリイカ2012年4月号,特集＝セザンヌにはどう視えているか,https://www.seidosha.co.jp/book/index.php?id=2248&status=published
